fallacy,text
ad hominem,"Student: Logical Fallacies have nothing to do with my life and I don’t want to learn them!
Teacher: You are too young to understand why it’s important!
Estudiante: ¡Las falacias lógicas no tienen nada que ver con mi vida y no quiero aprenderlas!
Maestro: Eres demasiado joven para entender por qué es importanto!"
ad hominem,"We cannot listen to John’s opinion on global warming because he is a tree hugger.
No podemos escuchar la opinión de John sobre el calentamiento global porque es un abrazador de árboles."
ad hominem,His opinions about sports mean nothing - he can barely tie his own shoes!
ad hominem,Look at that face! Could anyone trust that to run the country?
ad hominem,"I don't know about you, but I would never take the word of a woman who never finished school."
ad hominem,Why would you lend money to some who looks like they don't have a job?
ad hominem,"Senator Jones supports a strong national defense, and he wants your vote. I would never vote for a coward like him."
ad hominem,"Cari says that we need a major overhaul in education. Cari gets a speeding ticket every other week, so maybe she should learn how to drive instead of worrying about schools."
ad hominem,"""My opponent raises a really good point, but can we really trust him? He moved to this town three years ago and everyone knows his wife left him."
ad hominem,"Oh, please. What do you know about labor laws? You don't even have a job."
ad hominem,"""Why would you elect a mayor whose wife has been treated for alcohol addiction?""
This logical fallacy is called..."
ad hominem,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy."
ad hominem,What she says about Kepler's astronomy theory of the 1600's must be just so much garbage. Do you realize she's only fifteen years old?
ad hominem,"""In the business meeting, she proposed a new advertising plan for the dog food brand, but I found out she actually hates dogs. How can we trust her advertising skills?"""
ad hominem,"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""
ad hominem,"Robert Downey Jr. thinks everyone should vote. However, Robert Downey Jr. once went to prison for drug use. So, he's obviously wrong."
ad hominem,"When the arguer is attacked vs. the argument that is attacked, this is an example of:"
ad hominem,"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man."
ad hominem,Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.
ad hominem,Personally attacking someone to shift attention away from your views is
ad hominem,Which fallacy is used to attack a person's character
ad hominem,What can our new math teacher know? Have you seen how fat she is?
ad hominem,Donald Trump mocked Romney for walking like a penguin. He also repeatedly called Jeb Bush low-energy.
ad hominem,The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.
ad hominem,Dr. Bloom cannot be a competent marriage counselor because he is divorced.
ad hominem,"The research and reasoning that supposedly supports (or that supposedly discredits) this intervention are a joke. The researchers are people who are not methodologically sophisticated and there have been rumors--I have no idea whether they're true or not--that they faked some of the data. The advocates (or opponents) of this intervention are the worst kind of sloppy thinkers. They are fanatical adherents who already have their minds made up; they've become true believers in their cause. They make arguments only a stupid person would accept, and mistakes in reasoning that would make an undergrad psych major blush. These are not the kind of people who deserve to be taken seriously."
ad hominem,Don't believe what Kim says about global warming. Kim dropped out of college!
ad hominem,"harmful atheists favor cloning, so cloning is wrong"
ad hominem,Researchers are frauds who don’t earn their salaries
ad hominem,"Cat Stevens may be a successful and skilled musician, but let's not forget that he's been accused of extremist religious and political views."
ad hominem,"(1) William Dembski argues that modern biology supports the idea that there is an intelligent designer who created life.
(2) Dembski would say that because he’s religious.
Therefore:
(3) Modern biology doesn’t support intelligent design"
ad hominem,"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say."""
ad hominem,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.
ad hominem,I cannot listen to anyone who does not share my social and political values.
ad hominem,"during the presidential campaign of 1800, John Adams was called 'a fool, a gross hypocrite and an unprincipled oppressor.' His rival, Thomas Jefferson, on the other hand, was deemed 'an uncivilized atheist, anti-American, a tool for the godless French.'"
ad hominem,"Now you tell me she looks presidential, folks. I look presidential"
ad hominem,That's what you'd expect someone like him/her to say
ad hominem,a movie reviewer who dislikes a Tom Cruise movie because of the actor's religion and tries to impose negative bias in the audience members' minds before they see the film.
ad hominem,"Tony wants us to believe that the origin of life was an “accident”.  Tony is a godless SOB who has spent more time in jail than in church, so the only information we should consider from him is the best way to make license plates."
ad hominem,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
"
ad hominem,"Of course, your minister says he believes in God.  He would be unemployed otherwise."
ad hominem,President Trump said that he was proud of the children who participated in this year's Special Olympics. Those kids are a bunch of losers.
ad hominem,The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights?
ad hominem,"Boris is not qualified to make suggestions about our penal system. As an ex-convict, he would always take the criminals’ side."
ad hominem,"She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue."
ad hominem,"My best friend says you’re a liar, so I’m not going to talk to you."
ad hominem,The Volkswagen Beetle is an evil car because it was originally designed by Hitler’s army.
ad hominem,"This is a fallacy of irrelevance that is based solely on someone's or something's history, origin, or source rather than its current meaning"
ad hominem,"The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue."
ad hominem,"My doctor is overweight, so I don't believe anything he tells me about improving my health."
ad hominem,"The car was built with cheap parts, so it only goes to show that the car will fall apart."
ad hominem,You can't believe Bob's idea. He's a socialist.
ad hominem,Maria drives a car. She must be wealthy.
ad hominem,"My teacher says the Earth is flat, so it definitely is flat."
ad hominem,"The noble forefathers who created this great country did not fail; it is a great country now as it was then, by their very making."
ad hominem,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates"
ad hominem,"Hannah argues that because her friend was brainwashed as a child into thinking that people are generally good, people are not generally good.
Name that fallacy:"
ad hominem,My teacher always brings up stuff about Women's Rights. She only cares about it because she is a woman. The stats she shows us are probably bias.
ad hominem,Don't buy any of the clothes made by that company. Most of them are made in China so they must be cheap.
ad hominem,"You think labor unions are good? You know who else liked labor unions? Karl Marx, that’s who."
ad hominem,"According to Freud, your belief in God stems from your need for a strong father figure. So don’t you see that it’s silly to continue believing in God?"
ad hominem,"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture."
ad hominem,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?"
ad hominem,The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.
ad hominem,"Accused on the 6 o'clock news of corruption and taking bribes, the senator said that we should all be very wary of the things we hear in the media, because we all know how very unreliable the media can be."
ad hominem,This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.
ad hominem,"Since it was a deathbed confession, it must be true."
ad hominem,He’s just a psychology teacher at a community college
ad hominem,"Lisa was brainwashed as a child into thinking that people are generally good.  Therefore, people are not generally good."
ad hominem,"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously."
ad hominem,"I did not complete my homework last night? Well, you did not do yours last weak either."
ad hominem,"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """
ad hominem,This fallacy distracts from the argument by pointing out hypocrisy in the opponent.
ad hominem,"“But, Dad, I know you had no curfew when you were my age, so how can you give me a curfew?”"
ad hominem,"Sandy: ""You shouldn’t have that second piece of cake. It’s so fattening.""
Ralph: ""Didn’t you eat an entire tub of ice cream yesterday?"""
ad hominem,How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.
ad hominem,"All this time that you're telling me to improve, you're being lazy yourself."
ad hominem,"America keeps telling China to be more respecting of journalism, but why don't they stop the American propaganda first?"
ad hominem,"Wilma: You cheated on your income tax. Don't you realize that's wrong?
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?"
ad hominem,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true."
ad hominem,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.
ad hominem,"Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college."
ad hominem,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.

Hugh: You eat fat burgers all the time so that can’t be true."
ad hominem,"My friend told me to quit singing in the car since I have a ""bad voice."" She sings in the car all of the time!"
ad hominem,"Dad drank at parties, too"
ad hominem,"Peter: ""Based on the arguments I have presented, it is evident that it is morally wrong to use animals for food or clothing.""
Bill: ""But you are wearing a leather jacket and you have a roast beef sandwich in your hand! How can you say that using animals for food and clothing is wrong!"""
ad hominem,"Wilma: You cheated on your income tax. Don't you realize that's wrong
Walter: Hey, wait a minute. You cheated on your income tax last year. Or have you forgotten about that?"
ad hominem,"Recently, we highlighted a British journalist’s story about the underside of Dubai’s startling ascent. Some in Dubai called foul, including one writer who wants to remind Britons that their own country has a dark side. After all, what to think of a country in which one-fifth of the population lives in poverty?"
ad hominem,"Mother: You should stop smoking. It's harmful to your health.
Daughter: Why should I listen to you? You started smoking when you were 16!"
ad hominem,"There you are cheating on your husband, how could you ever tell us anything meaningful about ethics?"
ad hominem,"in response to the claim that ""Eating fast food is unhealthy"": “But I saw you eat a burger and fries for lunch only a few hours ago!"""
ad hominem,"Helga: You should not be eating that... it has been scientifically proven that eating fat burgers are no good for your health.
Hugh: You eat fat burgers all the time so that can’t be true.
"
ad hominem,"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable."
ad hominem,"Lola: I don't think John would be a good fit to manage this project, because he doesn't have a lot of experience with project management.
John: But you don't have a lot of experience in project management either!"
ad hominem,"Nicole identified that Hannah had committed a logical fallacy, but instead of addressing the substance of her claim, Hannah accused Nicole of committing a fallacy earlier on in the conversation."
ad hominem,I have been accused of using an ad hominem approach in trying to defend my research. But those who attack me and my research are also using ad hominem. And they started it!
ad hominem,"George: Man, those girls are smokin' hot!
Derek: No, they're not. You're a victim of the cheerleader effect. When girls are together in a group, each girl looks a lot better than if you were to see her without the other girls.
"
ad hominem,"Lucas: I remember when I was about three years old my mother saved me from almost being eaten by a shark.
Katie: I doubt that. What you are experiencing is what cognitive psychologists refer to as a ""false memory.""
"
ad hominem,Don’t believe what Alex says about global warming. Alex dropped out of college!
ad hominem,"Martin: All white people are not racists.
Charlie: Yes they are. You just believe that because you are white.
"
ad hominem,"Mom: Remember, dear. Nobody's going to buy the cow if they get the milk for free.
Daughter: You are only saying that because you are my mother.
Daughter: Wait... did you just call me a cow?
"
ad hominem,"""Do not listen to Luisa, she will only tell you lies about the recent activities given in our EAPP class."""
ad hominem,"Bill: “I believe that abortion is morally wrong.”
Dave: “Of course you would say that, you’re a priest.”
Bill: “What about the arguments I gave to support my position?”
Dave: “Those don’t count. Like I said, you’re a priest, so you have to say that abortion is wrong. Further, you are just a lackey to the Pope, so I can’t believe what you say.”"
ad hominem,"Tim: Boss, you heard my side of the story why I think Bill should be fired and not me.  Now, I am sure Bill is going to come to you with some pathetic attempt to weasel out of this lie that he has created.
"
ad hominem,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history."
ad hominem,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?

Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!"
ad hominem,"Steve: In Sweden, college is free for citizens. How come we can't do that here?

Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!"
ad hominem,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!
"
ad hominem,"Steve: In Sweden, college is free for citizens. How come we can't do that here?
Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!
"
fallacy of logic,"""The mind is like a knife, cutting through difficult problems. But just as too much cutting dulls a knife, so too much education dulls the mind."""
fallacy of logic,"""That's why, under my plan, individuals will be required to carry basic health insurance -- just as most states require you to carry auto insurance. Likewise, businesses will be required to either offer their workers health care, or chip in to help cover the cost of their workers."" President Obama on Universal Health Coverage (some feel that health insurance and car insurance are different on many fundamental aspects, and this is a bad comparison)"
fallacy of logic,Sandra is an angel from heaven. She gave me a free lunch today.
fallacy of logic,"We live in paradise, but we don't know it."
fallacy of logic,What is wrong with Tanya? She only has five hundred dollars saved and she’s going away to college next year. That would be like letting my four-year-old brother go to Russia by hisself.
fallacy of logic,"If we can send a woman into outerspace and communicate with them while they are there, then surely we can learn to communicate with one another in our state."
fallacy of logic,"Kids: If you wouldn't eat your dog, why eat a turkey? Go vegan."
fallacy of logic,"If I say that a surgeon should be allowed to use a guidebook to carry out surgery like a student can use open notes on a test, I have made a"
fallacy of logic,"It is ridiculous to have spent thousands of dollars to rescue those two whales trapped in the Arctic ice. Why, look at all the people trapped in jobs they don’t like."
fallacy of logic,"The book ""Investing for Dummies"" really helped me understand my finances better. The book ""Chess for Dummies"" was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well."
fallacy of logic,Not believing in the Tooth Fairy is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.
fallacy of logic,Santa has a red suit. My dad has a red suit. My dad must be Santa Claus! (This is an example of...)
fallacy of logic,We shouldn't let teenagers keep their phones just because they're upset at losing them; most babies cry when you take their toys away too.
fallacy of logic,"""Just like students are given a couple of weeks of preparation before taking exams, doctors should also be given few days or weeks to prepare themselves before an operation or surgery, after all surgery is not as easy task""
Is an example of...."
fallacy of logic,Schools are like families; therefore teachers (like parents) should be allowed to discipline their students.
fallacy of logic,"""Cars cause more deaths than firearms do, so if we ban firearms we should also ban cars."""
fallacy of logic,"""I believe that PNoy is the Abraham Lincoln of the Philippines."""
fallacy of logic,"Asking students to sit in the same class for 2 hours is like asking them to wander the desert alone, with no water, for a week."
fallacy of logic,"""You passed everyone in the class, so I should get extra credit"" is an example of"
fallacy of logic,"""Politicians and diapers must be changed often, and for the same reason."""
fallacy of logic,Not tipping your waiter is like stealing money right out of someone's wallet.
fallacy of logic,"The book Investing for Dummies really helped me understand my finances better. The book Chess for Dummies was written by the same author, was published by the same press, and costs about the same amount, so it would probably help me understand my finances as well."
fallacy of logic,"Schools are like families; therefore teachers (like parents) should be allowed to discipline their students.
Which logical fallacy is represented here?"
fallacy of logic,"Since a single human cell becomes a grown man over a period of a few years, then surely it can't be impossible for a single-cell organism to become the human race over a period of several million years."
fallacy of logic,"A cloud is 90 percent water; a watermelon is 90 percent water. Therefore, since a plane can fly through a cloud, a plane can fly through a watermelon."
fallacy of logic,"Smoking cigarettes is just like ingesting arsenic into your system; both have been shown to be causally related to death. If you wouldn't want to take a spoonful of arsenic, I would think that you wouldn't want to continue smoking."
fallacy of logic,"Julie was trying to demonstrate to the audience of her speech that gender inequality is like ordering fast food. ""It's not good for us,"" she said, ""but we do it all the time and men tend to go out for a burger and fries more than women do.""
What fallacy is this?"
fallacy of logic,"Employees are like nails. Just as nails must be hit in the head in order to make them work, so must employees."
fallacy of logic,People who buy stocks are no different from people who bet on horse racing. They both risk their money with little chance of making a big profit.
fallacy of logic,Covid-19 is like 10 people doing arts and crafts together and one of them is working with glitter. How many art projects in the group get glitter on them?
fallacy of logic,People are like dogs. They respond best to clear discipline.
fallacy of logic,Guns are like hammers--they're both tools with metal parts that could be used to kill someone. And yet it would be ridiculous to restrict the purchase of hammers--so restrictions on purchasing guns are equally ridiculous.
fallacy of logic,"Medical Student: ""No one objects to a physician looking up a difficult case in medical books. Why, then, shouldn't students taking a difficult examination be permitted to use their textbooks?"""
fallacy of logic,People who have to have a cup of coffee every morning before they can function have no less a problem than alcoholics who have to have their alcohol each day to sustain them.
fallacy of logic,"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a textbook in my medical exam."
fallacy of logic,comparison or metaphors to relate ideas or situations that are not really that similar
fallacy of logic,"The book Investing for Dummies really helped me understand my finances better. The book Chess for Dummies was written by the same author, was published by the same press, and costs about the same amount, so it will probably help me understand my finances, too."
fallacy of logic,"Hybrid cars are like solar power, full of promise but too expensive. We’ll never be able to build affordable hybrid cars."
fallacy of logic,Encampment is like basic training. It’s CAP’s equivalent to Boot Camp.
fallacy of logic,"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula."
fallacy of logic,Allowing people to possess guns is like giving a bomb to a bunch of kids.
fallacy of logic,"There were wonderful psychologists who passed away several decades ago. If they could be effective in what they did without reading any of the studies or other articles that have been published in the last several decades, there's no need for me to read any of those works in order to be effective."
fallacy of logic,FDR was a mighty engine pulling country out of desert of Great Depression
fallacy of logic,"There are seven windows given to animals in the domicile of the head: two nostrils, two eyes, two ears, and a mouth...From this and many other similarities in Nature, too tedious to enumerate, we gather that the number of planets must necessarily be seven."
fallacy of logic,a mad scientist builds a rocket to the sun but plans to embark at night to avoid being cremated.
fallacy of logic,"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era."
fallacy of logic,"surgeons have X-rays to guide them during an operation, lawyers have briefs to guide them during a trial, carpenters have blueprints to guide them when they are building a house. Why, then, shouldn’t students be allowed to look at their textbooks during an examination?"
fallacy of logic,"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank."
fallacy of logic,Believing in the literal resurrection of Jesus is like believing in the literal existence of zombies.
fallacy of logic,"The solar system reminds me of an atom, with planets orbiting the sun like electrons orbiting the nucleus. We know that electrons can jump from orbit to orbit; so we must look to ancient records for sightings of planets jumping from orbit to orbit also."
fallacy of logic,"Minds, like rivers, can be broad. The broader the river, the shallower it is. Therefore, the broader the mind, the shallower it is."
fallacy of logic,We have pure food and drug laws; why can't we have laws to keep moviemakers from giving us filth ?
fallacy of logic,Running the government is like running a business. You can’t keep running into debt and expect to be successful.
fallacy of logic,"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a text book in my medical exam."
fallacy of logic,"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food."
fallacy of logic,People who are psychotic act in a bizarre manner. This person acts in a bizarre manner. Therefore: This person is psychotic.
fallacy of logic,"If this client is competent to stand trial, she will certainly know the answers to at least 80% of the questions on this standardized test. She knows the answers to 87% of the test questions. Therefore she is competent to stand trial."
fallacy of logic,"If I eat fast food for dinner, then I have a stomach ache in the evening. I had a stomach ache this evening. Therefore I ate fast food for dinner."
fallacy of logic,"If Joe robbed a bank then he has a million dollars. Joe has a million dollars, so Joe robbed a bank."
fallacy of logic,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered."
fallacy of logic,"If it’s brown, flush it down.
I flushed it down.
Therefore, it was brown."
fallacy of logic,"P or Q.
P.
Therefore, not Q.
P or Q."
fallacy of logic,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower."
fallacy of logic,"I am going to bed or watching TV.  I am exhausted, so I will go to bed; therefore, I cannot watch TV."
fallacy of logic,We should stop using hairspray because it is snowing in New York.
fallacy of logic,"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes."""
fallacy of logic,"All men are mortal, and Socrates is a man, therefore Socrates likes dogs."
fallacy of logic,She's wearing red shoes. Her favorite color must be red.
fallacy of logic,"Girl:"" I'm worried that my friend is mad at me.""
Friend: ""I wonder what you call a male lady bug?"""
fallacy of logic,"He has my vote for senator, because he has the best shirts.

What logic fallacy does this represent?"
fallacy of logic,"People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!"
fallacy of logic,"We must have a poltergeist in the house. When the dog ran under the table, the vase just seemed to jump off the shelf all by itself."
fallacy of logic,"""People generally like to walk on the beach. Beaches have sand. Therefore, having sand floors in homes would be a great idea!"""
fallacy of logic,"Good people don't lie. You told a lie. Therefore, you are not a good person."
fallacy of logic,"Person A: ""What's the weather like?""
Person B: ""It's 2:00"""
fallacy of logic,"I would have done my homework, but my refrigerator stopped working."
fallacy of logic,"Bats are mammals. Bats can fly. Pigs are also mammals, therefore pigs can fly."
fallacy of logic,How can I be expected to do my homework when billions of people around the world are throwing their plastic water bottles away without recycling them?
fallacy of logic,Someone who says something which does not flow logically in the conversation is guilty of using:
fallacy of logic,My fridge isn't working. I should probably finish that book I've been reading.
fallacy of logic,"The Earth is round.
Therefore, Trump."
fallacy of logic,"""1 is a number and 2 is a number so 1 = 2"""
fallacy of logic,"""Men are human. Mary is a human. Therefore, Mary is a man."""
fallacy of logic,"""If my hair looks nice, people will love me."""
fallacy of logic,"""If you buy a computer, you will become smarter."""
fallacy of logic,"""We both like music, so we should get married."""
fallacy of logic,"""The research I found on cell phone use in the classroom suggests that students can be distracted when they have access to texting. This leads me to believe that all high school students should not be allowed to have their phones on them at school anytime."
fallacy of logic,He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.
fallacy of logic,"'Cotton and grain crops were lower this year than last. So, people must be stealing them.""
This is an example of what kind of logical fallacy?"
fallacy of logic,"Nuclear disarmament is a risk, but everything in life involves a risk. Every time you drive in a car you are taking a risk. If you're willing to drive in a car, you should be willing to have disarmament."
fallacy of logic,Mrs. Sedik really knows math; she would be an excellent math instructor.
fallacy of logic,Jim spends most of his spare time hiking and picking up rocks for his collection. He really should go to college and study to become a geologist.
fallacy of logic,Photo shows flying saucer
fallacy of logic,aliens must have visited Earth
fallacy of logic,Why should we worry about the negative depiction of women in music videos when thousands of women are dying of AIDS each year?
fallacy of logic,Tens of thousands of Americans have seen lights in the night sky which they could not identify. The existence of life on other planets is fast becoming certainty !
fallacy of logic,"arguing at length that your religion is of great help to many people. Then, concluding that the teachings of your religion are undoubtably true"
fallacy of logic,"Bill lives in a large building, so his apartment must be large."""
fallacy of logic,"People generally like to walk on the beach.  Beaches have sand.  Therefore, having sand floors in homes would be a great idea!"
fallacy of logic,"Buddy Burger has the greatest food in town.  Buddy Burger was voted #1 by the local paper.  Therefore, Phil, the owner of Buddy Burger, should run for president of the United States."
fallacy of logic,"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ."
fallacy of logic,"Recognising that Amanda had committed a fallacy in arguing that we should eat healthy food because a nutritionist said it was popular, Alyse said we should therefore eat bacon double cheeseburgers every day."
fallacy of logic,"Karen: I am sorry, but if you think man used to ride dinosaurs, then you are obviously not very well educated.
Kent:  First of all, I hold a PhD in creation science, so I am well-educated.  Second of all, your ad hominem attack shows that you are wrong, and man did use to ride dinosaurs.
Karen:  Getting your PhD in a couple of months, from a “college” in a trailer park, is not being well-educated.  My fallacy in no way is evidence for man riding on dinosaurs, and despite what you may think, the Flintstone’s was not a documentary!
"
fallacy of logic,Most Arabs are Muslims and all the 9/11 hijackers were also Muslims. Therefore most Arabs are hijackers.
fallacy of logic,"Poetry is a based on rhythm, and music is based on rhythm, so isn't poetry a kind of music?"
fallacy of logic,"Most heroin users started out smoking pot. If you start smoking pot, you’ll end up a heroin user, too."
fallacy of logic,"All lions are animals.
All cats are animals.
Therefore, all lions are cats."
fallacy of logic,"All ghosts are imaginary.
All unicorns are imaginary.
Therefore, all ghosts are unicorns."
fallacy of logic,"The lady in the pink dress is Julia Roberts.
The reporter thinks Julia Roberts drives a Prius.
Therefore, the reporter thinks the lady in the pink dress drives a Prius."
fallacy of logic,"All cats are felines.
All dogs are canines.
Therefore, all cats are canines."
fallacy of logic,"All Greek gods are mythical.
All modern day gods are real.
Therefore, all Greek gods are real."
fallacy of logic,"All hotdogs are fast food.
No hamburgers are hotdogs.
Therefore, no hamburgers are fast food."
fallacy of logic,"All Jim Carrey movies are hilarious.
No horror movies are Jim Carrey movies.
Therefore, no horror movies are hilarious."
fallacy of logic,"All Catholics are Christian.
All Christians are Jesus lovers.
Therefore, all Jesus lovers are Catholic."
fallacy of logic,"All Paul Newman movies are great.
All great movies are Oscar winners.
Therefore, all Oscar winners are Paul Newman movies."
fallacy of logic,"I currently have as patients in my practice all the patients in this town who are willing and able to pay $5,000 per session for long-term twice-weekly therapy. If you buy my practice, all my clients will be included. Therefore, if you buy my practice you will then have at least some patients willing and able to pay $5,000 per session for long-term twice-weekly therapy."
fallacy of logic,"All babysitters have pimples.
All babysitter club members are babysitters.
Therefore, some babysitter club members have pimples.Example #2:
All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods.
"
fallacy of logic,"All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods."
fallacy of logic,"All cats are animals.
Some pets are cats.
Therefore, some pets are not animals."
fallacy of logic,"All boys are sports fans.
Some bakers are boys.
Therefore, some bakers are not sports fans."
fallacy of logic,"No people under the age of 66 are senior citizens.
No senior citizens are children.
Therefore, all people under the age of 66 are children."
fallacy of logic,"No donkeys are fish.
Some asses are donkeys.
Therefore, some asses are fish."
fallacy of logic,"No kangaroos are MMA fighters.
Some MMA fighters are not Mormons.
Therefore, some Mormons are not kangaroos."
fallacy of logic,"No animals are insects.
No insects are dogs.
Therefore, no dogs are animals."
fallacy of logic,"In an example used by Sigmund Freud in The Interpretation of Dreams, a man accused by his neighbor of having returned a kettle in a damaged condition offered three arguments:
That he had returned the kettle undamaged;
That it was already damaged when he borrowed it;
That he had never borrowed it in the first place.
"
fallacy of logic,"I don't believe in God. One reason is that I think he is evil. And by the way, there is no such thing as ""evil;"" it is just our evaluation of what we believe is wrong."
fallacy of logic,"If this test were based on fraudulent norms, then it would be invalid. But the norms are not fraudulent. Therefore, this test is valid."
fallacy of logic,"If it barks, it is a dog.
It doesn’t bark.
Therefore, it’s not a dog."
fallacy of logic,"If I have cable, then I have seen a naked lady.
I don’t have cable.
Therefore, I have never seen a naked lady."
appeal to emotion,"Regime vs. government
Pro-death vs. pro-choice"
appeal to emotion,"I know you don't like the cat sweater that Grandma knitted for you, but she worked so hard on it, and it will make her happy to see you wear it in the family holiday photo."
appeal to emotion,"We, the people, are going to work together to achieve justice, unity, and integrity."
appeal to emotion,"Which fallacy am I? Combining facts and evidence with words that stir up emotion, with the attempt to manipulate others into accepting the truth of the argument."
appeal to emotion,"Which fallacy is the following example? ""By rejecting God, you are rejecting goodness, kindness, and love itself."""
appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."
appeal to emotion,A commercial about abandoned animals needing a shelter of a forever home. They ask for a small donation to help these struggling animals.
appeal to emotion,"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."
appeal to emotion,They are dangerous militants out to destroy our peaceful way of life.
appeal to emotion,A real estate ad shows a happy family moving in to the home of their dreams.
appeal to emotion,"Using positive words that become associated with something, like company slogans and political advertisements"
appeal to emotion,A commercial shows images of animals in need to persuade the audience to make donations.
appeal to emotion,"""It is an outrage that the school wants to remove the vending machines. This is taking our freedom away!"""
appeal to emotion,Television Advertisement: Get all of your stains out by using new and improved Ultra Suds and wash your blues away!
appeal to emotion,"An advertisement asking people to give to St. Jude Research Center to help children struggling with cancer. You wouldn't want to let these children die, right?"
appeal to emotion,Don't you want the best for your baby?
appeal to emotion,This seat belt ad is using which type of persuasive appeal? It has a picture which might make people feel sad.
appeal to emotion,Janice just lost her goldfish and so asks you to give her the benefit of the doubt. What fallacy has she committed?
appeal to emotion,"""You will never be satisfied in life if you don’t seize this opportunity. Do you want to live the rest of your years yearning to know what would have happened if you just jumped when you had the chance?"" Which appeal is the primary appeal used in this quote?"
